,Unnamed: 0,STEM.TAG,QUAD,SUBQUAD,X,Y,SPECIES,CENSUS,DIAM,ALIVE,coords.x1,coords.x2,x_trans,y_trans
16,484173,1030,102,33,11.32,34.29,DACEXC,6,20.8,A,265155.210429107,254212.154672022,202236.7010004972,2028129.5547639045
17,484178,1033,102,34,13.7,35.87,DACEXC,6,24.7,A,265157.592911213,254213.725517301,202239.11433291854,2028131.0815337908
18,484216,1034,102,44,18.09,38.59,BUCTET,6,73.8,A,265161.986799567,254216.429167916,202243.56147261697,2028133.7037970314
19,484243,807,103,11,4.24,43.12,CECSCH,6,22.4,A,265148.17107543396,254220.974535418,202229.8241713412,2028138.5119035626
20,484252,2005,103,13,2.31,54.81,MANBID,6,58.3,A,265146.285108666,254232.636132918,202228.1569815391,2028150.215150008
21,484273,2013,103,22,7.72,46.82,DACEXC,6,45.0,A,265151.659638128,254224.657311076,202233.38396345504,2028142.1308655294
22,484274,2015,103,22,6.94,45.09,TETBAL,6,24.6,A,265150.87452159,254222.933659386,202232.56595328863,2028140.4211067809
23,484282,2010,103,23,8.49,50.99,DACEXC,6,22.8,A,265152.443429438,254228.814243678,202234.24650329928,2028146.2752044438
24,484283,2011,103,23,6.35,50.73,DACEXC,6,46.5,A,265150.305317841,254228.55926948698,202232.10246693087,2028146.0603898065
25,484287,2007,103,24,7.45,57.73,SLOBER,6,21.7,A,265151.428721699,254235.53772143103,202233.35796944622,2028153.0213256376
26,484288,2008,103,24,7.81,57.49,DACEXC,6,57.0,A,265151.787396795,254235.29765964602,202233.71230836277,2028152.7743788236
27,484304,2017,103,32,12.99,45.42,DACEXC,6,32.2,A,265156.917745025,254223.250569636,202238.618313706,2028140.6242976435
28,484307,2020,103,32,14.97,47.95,DACEXC,6,31.1,A,265158.904124977,254225.769596216,202240.65320525365,2028143.1072097262
29,484323,2021,103,33,14.66,52.47,DACEXC,6,50.2,A,265158.610577554,254230.27773610398,202240.4444607618,2028147.6232422467
30,484325,2023,103,33,11.45,52.4,DACEXC,6,26.0,A,265155.404546111,254230.21439098602,202237.2355566923,2028147.6202822113
31,484326,2024,103,33,13.97,53.52,DACEXC,6,20.1,A,265157.925211364,254231.32622496103,202239.77849464637,2028148.6851960008
32,484338,2025,103,34,12.5,57.28,TETBAL,6,28.5,A,265156.470489972,254235.07879896302,202238.3937295053,2028152.467149596
33,484339,2026,103,34,11.82,58.28,TETBAL,6,25.9,A,265155.794933153,254236.077405789,202237.73663788883,2028153.4790103775
34,484362,2041,103,41,17.04,44.83,MATDOM,6,41.7,A,265160.96033004,254222.65404678602,202242.65177407663,2028139.9512793866
35,484363,2042,103,41,17.05,40.15,ORMKRU,6,28.8,A,265160.953703604,254217.98695269602,202242.55719227454,2028135.281866305
36,484374,2037,103,42,17.6,46.95,DACEXC,6,28.7,A,265161.527120039,254224.767064153,202243.25868096016,2028142.0547219675
37,484375,2040,103,42,16.27,45.04,DACEXC,6,32.5,A,265160.192087075,254222.865016737,202241.88710458437,2028140.1768374469
38,484384,2032,103,43,16.9,53.51,DACEXC,6,46.8,A,265160.851326661,254231.31035466102,202242.7058431066,2028148.6141741928
39,484385,2033,103,43,15.41,52.26,DACEXC,6,20.8,A,265159.358846794,254230.066806413,202241.18914682243,2028147.3981008304
40,484386,2034,103,43,17.51,50.96,BUCTET,6,58.5,A,265161.451473173,254228.766169801,202243.25835825206,2028146.057347252
41,484403,2504,104,11,3.34,64.05,DACEXC,6,22.0,A,265147.346556148,254241.848538945,202229.39259494463,2028159.4123776425
42,484405,2506,104,11,0.25,64.14,DACEXC,6,24.5,A,265144.260935035,254241.944510358,202226.30716638162,2028159.5665486997
43,484414,2507,104,12,0.24,67.5,TETBAL,6,23.1,A,265144.262875669,254245.29525025398,202226.37225369352,2028162.9190069684
44,484415,2508,104,12,1.64,66.94,DACEXC,6,35.0,A,265145.659048542,254244.73397884102,202227.75858047465,2028162.3311303006
45,484416,2509,104,12,3.71,66.33,SCHMOR,6,20.1,A,265147.72416373,254244.121496856,202229.81323482294,2028161.6794098374
46,484437,2517,104,14,0.57,77.98,DACEXC,6,31.9,A,265144.629644571,254255.745640493,202226.93615584128,2028173.3679586498
47,484449,2503,104,21,6.35,63.64,DACEXC,6,29.8,A,265150.351146408,254241.4336124,202232.39093935245,2028158.940611472
48,484468,2526,104,22,7.29,69.75,INGLAU,6,27.6,A,265151.31160109397,254247.524844572,202233.4666880758,2028165.0169335748
49,484469,2527,104,22,7.62,69.76,DACEXC,6,44.3,A,265151.641203065,254247.534152681,202233.79663807235,2028165.0200351092
50,484470,2528,104,22,5.4,66.64,DACEXC,6,21.3,A,265149.413043994,254244.42723877198,202231.50876137707,2028161.9534844332
51,484483,2522,104,24,6.0,76.43,TETBAL,6,30.5,A,265150.047008795,254254.188991279,202232.32702161546,2028171.7084019503
52,484484,2523,104,24,7.0,75.97,MANBID,6,38.0,A,265151.04406214197,254253.728248845,202233.31591425906,2028171.228628397
53,484512,2538,104,43,15.42,72.01,INGLAU,6,31.1,A,265159.438943199,254249.762237292,202241.64045056154,2028167.102335576
54,484523,3502,105,12,1.38,85.51,DACEXC,6,29.2,A,265145.465310829,254263.253212345,202227.91374300176,2028180.8637140077
55,484525,3504,105,12,4.47,85.72,DACEXC,6,55.3,A,265148.551996898,254263.45641233897,202231.00587501546,2028181.0088504876
56,484526,3505,105,12,2.46,87.47,SLOBER,6,34.1,A,265146.550849716,254265.205624898,202229.03664448595,2028182.7966916321
57,484527,3506,105,12,3.42,87.62,DACEXC,6,21.8,A,265147.510121021,254265.353278177,202229.99920076894,2028182.926344339
58,484557,3513,105,31,11.02,81.64,CROPOE,6,21.1,A,265155.078908632,254259.374496425,202237.4592793837,2028176.8017945704
59,484562,3516,105,32,12.02,89.96,MANBID,6,31.6,A,265156.107129664,254267.669503857,202238.64436182543,2028185.0817684613
60,484566,3521,105,34,12.37,98.48,SLOBER,6,20.9,A,265156.48691458604,254276.165267307,202239.18445245258,2028193.5748234426
61,484571,3524,105,43,19.41,92.03,GUAGUI,6,33.7,A,265163.49476945103,254269.71891093,202246.07449196716,2028186.9930251366
62,484583,4501,106,12,0.96,107.32,ALCLAT,6,20.2,A,265145.123284826,254285.00381912198,202227.98143921193,2028202.6321577772
63,484584,4502,106,12,1.48,107.89,GUAGUI,6,39.8,A,265145.644625105,254285.571198067,202228.51374512026,2028203.190008907
64,484589,4503,106,13,1.23,112.39,GUAGUI,6,43.2,A,265145.410927861,254290.059272418,202228.36450599902,2028207.6848378978
65,484593,4504,106,14,2.5,119.0,DACEXC,6,81.3,A,265146.702723945,254296.648459332,202229.7811561452,2028214.2531308879
66,484601,4510,106,22,7.47,107.56,INGLAU,6,45.3,A,265151.625584462,254285.230051996,202234.4914075723,2028202.735969444
67,484602,4513,106,22,6.64,107.14,MANBID,6,31.9,A,265150.79518391396,254284.812882767,202233.65271036315,2028202.334231138
68,484606,4508,106,23,8.48,111.29,MANBID,6,33.6,A,265152.64749854396,254288.947716761,202235.58391843882,2028206.4363224413
69,484614,4515,106,31,14.53,103.42,SLOBER,6,31.4,A,265158.661613207,254281.08727520003,202241.45304771117,2028198.4584252904
70,484617,4518,106,32,14.52,109.26,SLOBER,6,22.1,A,265158.67235747,254286.91116539997,202241.57355218026,2028204.285162521
71,484623,131826,106,34,12.77,119.67,SLOBER,6,35.0,A,265156.961610423,254297.29593589602,202240.05761697714,2028214.7076108453
72,484624,4524,106,41,17.53,103.94,SLOBER,6,25.9,A,265161.659517964,254281.599800147,202244.4621810245,2028198.9147214117
73,484628,29158,106,44,17.12,118.78,CECSCH,6,27.9,A,265161.302736367,254296.39963775603,202244.38412464218,2028213.729031956
74,484639,5500,107,13,2.63,130.22,DACEXC,6,46.6,A,265146.872382481,254307.837208299,202230.161763551,2028225.4445420578
75,484640,5501,107,13,4.13,130.83,MANBID,6,27.9,A,265148.372577307,254308.442504082,202231.67415127496,2028226.021882517
76,484641,5502,107,13,0.14,131.26,DACEXC,6,42.0,A,265144.389345492,254308.87934807103,202227.6970661049,2028226.5340223382
77,484670,5507,107,24,9.86,139.7,DACEXC,6,36.8,A,265154.12653685303,254317.276471213,202237.59760707588,2028234.752037714
78,484674,5516,107,31,11.49,122.83,ALCFLO,6,23.8,A,265155.69450951397,254300.449784623,202238.84928902774,2028217.8869904124
79,484688,5519,107,32,12.41,129.81,DACEXC,6,25.3,A,265156.638078844,254307.408654136,202239.9244973914,2028224.831721548
80,484695,5520,107,33,13.25,132.57,GUAGUI,6,56.9,A,265157.486772905,254310.15934021602,202240.82547461963,2028227.5678536566
81,484711,5526,107,42,16.52,128.15,SLOBER,6,44.9,A,265160.736786697,254305.744965822,202243.99399792036,2028223.0899189108
82,484713,5528,107,42,16.78,125.1,CORSUL,6,24.4,A,265160.985618086,254302.702866479,202244.18562902574,2028220.041537331
83,484767,6516,108,31,11.89,141.49,HOMRAC,6,53.4,A,265156.16022423,254319.057441007,202239.66592320846,2028236.4956135424
84,484776,6519,108,33,14.91,151.43,SLOBER,6,25.7,A,265159.211542302,254328.963907899,202242.90553499584,2028246.3497627792
85,484777,6521,108,33,13.98,154.97,DACEXC,6,25.0,A,265158.295330533,254332.49600254602,202242.05540908407,2028249.9009736737
86,484783,6522,108,34,11.55,156.51,DACEXC,6,23.5,A,265155.87398964603,254334.036640554,202239.66183513962,2028251.488050824
87,484787,6526,108,41,16.44,143.21,SLOBER,6,22.7,A,265160.71035253897,254320.76353152603,202244.2505866983,2028238.1168463728
88,484799,6523,108,44,17.98,155.07,SLOBER,6,21.5,A,265162.290430632,254332.587674581,202246.05432859855,2028249.9174023124
89,484800,43137,108,44,15.85,158.65,SCHMOR,6,22.0,A,265160.175937323,254336.16207427898,202244.00609114242,2028253.5335231088
90,484811,7501,109,11,4.01,161.91,SLOBER,6,27.2,A,265148.363064299,254339.43690347602,202232.2487499509,2028257.032692223
91,484819,7504,109,12,3.76,169.9,DACEXC,6,32.4,A,265148.141756032,254347.405338537,202232.17749908782,2028265.0094708716
92,484828,7505,109,13,2.69,172.58,OXALAU,6,22.8,A,265147.082675313,254350.08009029398,202231.16827229614,2028267.7055828138
93,484829,7506,109,13,2.75,173.85,OXALAU,6,22.1,A,265147.1471048,254351.34646181,202231.25660165696,2028268.9714032502
94,484830,7507,109,13,2.92,173.9,ALCLAT,6,31.9,A,265147.31705896,254351.395981511,202231.42757806863,2028269.017745911
95,484847,7515,109,21,9.01,160.94,TETBAL,6,20.8,A,265153.353052336,254338.459517881,202237.22293119837,2028255.96075357
96,484854,7514,109,22,7.76,168.7,MANBID,6,32.1,A,265152.13224132604,254346.200601138,202236.14736946928,2028263.7288977443
97,484870,48491,109,31,10.64,160.46,CECSCH,6,24.8,A,265154.97920704103,254337.97756253302,202238.84085447964,2028255.4478993805
98,484879,7520,109,33,14.45,170.42,SLOBER,6,32.4,A,265158.81955827,254347.90238396102,202242.8702598468,2028265.3055421682
99,484880,7521,109,33,13.2,171.44,PSESPU,6,45.7,A,265157.57482127,254348.922082925,202241.64408841322,2028266.349233421
100,484881,7524,109,33,11.78,172.69,MANBID,6,28.6,A,265156.161124067,254350.171488835,202240.25319737964,2028267.625936144
101,484885,48486,109,33,12.54,171.55,SLOBER,6,25.0,A,265156.916078809,254349.03310764898,202240.9870934151,2028266.47273097
102,484886,7529,109,41,18.65,163.44,DACEXC,6,34.6,A,265162.989262685,254340.933208185,202246.91080616775,2028258.2541351758
103,484887,7530,109,41,18.68,162.58,DACEXC,6,57.4,A,265163.016170402,254340.075523095,202246.92156404606,2028257.3954939377
104,484888,7531,109,41,17.57,160.96,DACEXC,6,33.3,A,265161.901877875,254338.46223185898,202245.77628405555,2028255.802357976
105,484912,7526,109,44,19.93,176.33,ANDINE,6,22.2,A,265164.31333869,254353.785029772,202248.47778136627,2028271.0877317619
106,484923,31059,110,12,3.88,185.25,MANBID,6,23.1,A,265148.316088587,254362.71270068,202232.6404071183,2028280.3215633926
107,484927,8502,110,13,0.9,193.75,ORMKRU,6,26.9,A,265145.37017720396,254371.195222465,202229.85281632672,2028288.864046399
108,484933,8504,110,14,0.53,198.54,MANBID,6,24.1,A,265145.017667064,254375.97273739698,202229.5901598034,2028293.6507066835
109,484941,8514,110,21,5.88,180.98,GUAGUI,6,39.1,A,265150.298303283,254358.45046842602,202234.54333314637,2028276.0197421093
110,484949,8512,110,22,9.54,187.08,ORMKRU,6,21.1,A,265153.975149148,254364.526253015,202238.33660947497,2028282.029413759
111,484953,31077,110,22,9.84,187.11,PSESPU,6,22.7,A,265154.27486152697,254364.55556627398,202238.63703122962,2028282.053093939
112,484957,8508,110,23,6.14,191.95,DACEXC,6,26.3,A,265150.596903573,254369.389646203,202235.0482514107,2028286.959020604
113,484958,8509,110,23,7.19,190.84,MANBID,6,35.5,A,265151.641583831,254368.280598406,202236.07257735333,2028285.8297038213
114,484960,31143,110,23,5.66,194.44,SCHMOR,6,21.9,A,265150.126373286,254371.87373509997,202234.62429042248,2028289.453277985
115,484987,8516,110,32,12.57,185.38,MANBID,6,20.3,A,265156.99513382604,254362.824849158,202241.3261104857,2028280.2702039059
116,484988,8517,110,32,12.52,189.42,SAPLAU,6,30.2,A,265156.959540907,254366.853791429,202241.3664290795,2028284.30192649
117,484994,8520,110,33,14.0,192.02,CORSUL,6,28.1,A,265158.44682621,254369.443631142,202242.9033017339,2028286.865092527
118,485003,8522,110,34,12.98,197.46,MANBID,6,46.4,A,265157.447477391,254374.870659203,202242.00570868247,2028292.313796027
119,485009,8531,110,41,18.32,184.79,MANBID,6,25.9,A,265162.735485515,254362.22490430603,202247.0581610051,2028279.5617613806
120,485014,134310,110,41,19.7,181.65,CECSCH,6,27.0,A,265164.10252605,254359.090799046,202248.36685146124,2028276.400251836
121,485015,134312,110,41,17.51,182.22,CECSCH,6,29.3,A,265161.917426515,254359.663633063,202246.19140362332,2028277.0145664287
122,485016,134318,110,41,15.97,183.07,CECSCH,6,25.4,A,265160.38246701896,254360.514385315,202244.6716738717,2028277.8946921597
123,485026,8527,110,43,19.22,193.43,MANBID,6,25.0,A,265163.664973872,254370.83922920102,202248.15048313857,2028288.163078949
124,485027,8528,110,43,16.48,190.92,MANBID,6,42.0,A,265160.919663345,254368.341677217,202245.35666592466,2028285.7159580672
125,485030,31368,110,43,15.69,190.87,SLOBER,6,21.0,A,265160.130523693,254368.29340554,202244.56620336953,2028285.6825333966
126,485060,9409,111,23,7.2,213.55,DACEXC,6,26.2,A,265151.732187793,254390.927853841,202236.59004540544,2028308.4871103202
127,485061,9410,111,23,9.45,210.25,ALCLAT,6,20.1,A,265153.967517413,254387.632439237,202238.76443890488,2028305.1478423881
128,485070,9408,111,24,7.02,216.27,BUCTET,6,34.0,A,265151.562079855,254393.640703601,202236.4709757903,2028311.2045864912
129,485074,9412,111,31,10.63,203.86,TETBAL,6,26.7,A,265155.12328367896,254381.25771298102,202239.8006701998,2028298.7479963945
130,485075,9413,111,31,13.14,202.0,DACEXC,6,22.9,A,265157.62338351604,254379.397797769,202242.26702655875,2028296.8399897472
131,485076,9414,111,31,12.48,201.34,INGLAU,6,32.8,A,265156.961907671,254378.74094921397,202241.5928252265,2028296.1952636347
132,485081,9416,111,32,14.0,205.9,SLOBER,6,63.1,A,265158.496098131,254383.28529493898,202243.21346302435,2028300.713074878
133,485082,9417,111,32,13.24,205.89,DACEXC,6,20.4,A,265157.737061061,254383.276852395,202242.4538694328,2028300.7189329567
134,485103,9431,111,42,17.46,208.48,GUAGUI,6,21.0,A,265161.960711268,254385.851204267,202246.72824802762,2028303.2150323996
135,485108,55804,111,43,18.84,214.27,INGLAU,6,27.3,A,265163.359451965,254391.622434576,202248.23648762802,2028308.9629230131
136,485114,10502,112,11,3.56,222.16,DACEXC,6,59.8,A,265148.12753395,254399.52140035198,202233.14546149527,2028317.1530914027
137,485133,10517,112,21,7.59,220.75,SLOBER,6,29.3,A,265152.147234363,254398.10718258,202237.14061376633,2028315.6623761142
138,485134,10518,112,21,6.44,220.73,MANBID,6,32.1,A,265150.998674146,254398.089552702,202235.9911198875,2028315.6663832616
139,485139,10512,112,22,7.98,226.88,CROPOE,6,26.3,A,265152.558482593,254404.21946663,202237.6672721487,2028321.7701100314
140,485141,10514,112,22,8.28,226.3,CORSUL,6,29.6,A,265152.856029564,254403.64046469302,202237.95406277617,2028321.1851972188
141,485142,10516,112,22,9.46,225.22,BUCTET,6,37.8,A,265154.030645534,254402.561072353,202239.10895105015,2028320.0831023622
142,485174,10524,112,34,13.02,237.36,MANBID,6,22.2,A,265157.629063867,254414.660375913,202242.93728292082,2028332.120923259
143,485180,10531,112,41,15.83,221.25,HOMRAC,6,41.4,A,265160.378184222,254398.589214951,202245.3849577646,2028315.989536923
144,485200,57144,112,44,16.47,239.72,CECSCH,6,20.1,A,265161.082909174,254417.00691300398,202246.4371606034,2028334.4035958103
145,485207,10001,113,11,0.98,243.88,ANDINE,6,31.8,A,265145.628026099,254421.186603662,202231.0529583685,2028338.8767465316
146,485214,10003,113,12,1.2,249.34,ANDINE,6,29.8,A,265145.867119262,254426.631080435,202231.39478668798,2028344.3195681667
147,485223,10006,113,13,0.75,253.85,CHIDOM,6,31.3,A,265145.43372026196,254431.129529755,202231.04594145017,2028348.8285411817
148,485237,10013,113,21,9.86,240.56,MANBID,6,34.2,A,265154.484574748,254417.857898492,202239.8514097171,2028335.3793827493
149,485240,49004,113,22,5.81,248.0,MANBID,6,31.2,A,265150.466306206,254425.285501818,202235.97102225648,2028342.886605811
150,485254,10014,113,31,12.24,244.73,MANBID,6,21.0,A,265156.87625096604,254422.01159025801,202242.32262103597,2028339.490174355
151,485260,10015,113,32,13.0,245.83,SLOBER,6,22.5,A,265157.639157373,254423.10702225,202243.10657203733,2028340.5718016764
152,485270,10027,113,41,18.02,243.1,DACEXC,6,20.7,A,265162.642871399,254420.374457471,202248.06140616722,2028337.7435033463
153,485271,10029,113,41,18.58,240.34,DACEXC,6,28.5,A,265163.192338128,254417.620953273,202248.55926644284,2028334.9782020675
154,485272,10030,113,41,19.18,240.37,DACEXC,6,37.9,A,265163.791656391,254417.649662648,202249.15943953115,2028334.9956313842
155,485278,10025,113,42,18.05,248.24,DACEXC,6,35.0,A,265162.691078217,254425.500200535,202248.20624104567,2028342.8710212992
